Offense Sub Category,count_offense_id
LARCENY-THEFT,"461,998"
ALL OTHER,"190,730"
BURGLARY,"143,213"
ASSAULT OFFENSES,"136,971"
"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)","126,294"
MOTOR VEHICLE THEFT,"91,518"
EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),"86,128"
999,"49,976"
AGGRAVATED ASSAULT,"45,465"
TRESPASS,"37,359"
NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),"32,386"
ROBBERY,"29,257"
VIOLATION OF NO CONTACT ORDER,"23,778"
DUI,"21,878"
WEAPON LAW VIOLATION,"12,990"
NON-VIOLENT FAMILY OFFENSES,"11,925"
RAPE,"5,224"
SEX OFFENSES,"4,472"
PROSTITUTION OFFENSES,"4,337"
DISORDERLY CONDUCT & VAGRANCY VIOLATIONS,"2,924"
LIQUOR LAW VIOLATIONS & DRUNKENNESS,"2,460"
ARSON,"2,447"
KIDNAPPING/ABDUCTION,"2,036"
UNKNOWN,"1,622"
PORNOGRAPHY,695
HOMICIDE,621
ANIMAL CRUELTY,298
HUMAN TRAFFICKING,108
JUSTIFIABLE HOMICIDE,41
GAMBLING OFFENSES,33
RUNAWAY,1
