year,avgIncome,cpiAnnual
2000,"71,790",172.19
2001,"70,610",177.04
2002,"70,040",179.87
2003,"70,080",184
2004,"69,970",188.91
2005,"71,060",195.27
2006,"71,850",201.56
2007,"73,010",207.34
2008,"70,520",215.25
2009,"70,070",214.56
2010,"68,420",218.08
2011,"67,410",224.92
2012,"67,400",229.59
2013,"67,800",232.95
2014,"69,060",236.72
2015,"72,790",237
2016,"75,380",240.01
2017,"76,710",245.12
2018,"77,700",251.1
2019,"83,260",255.65
2020,"81,580",258.86
2021,"81,270",270.97
2022,"79,500",292.63
2023,"82,690",304.7
2024,"83,730",313.7
